pregame_total,home_favorite_threshold,n,bottom9_skipped_pct,i9_under05_pct,i9_fair_under_american,bottom9_played_n,under05_if_bottom9_played_pct,season_sd_under_pp
7.0,-150,231,56.27705627705628,73.16017316017316,-272.5806451612903,101,58.415841584158414,4.361367020501982
7.0,-175,146,58.21917808219178,75.34246575342466,-305.5555555555556,61,60.65573770491803,9.077346435988233
7.0,-200,85,57.647058823529406,71.76470588235294,-254.16666666666669,36,55.55555555555556,9.625689248344454
7.0,-225,42,66.66666666666666,76.19047619047619,-319.99999999999994,14,64.28571428571429,18.934990343358777
7.0,-250,30,70.0,80.0,-400.0000000000001,9,66.66666666666666,14.48711645600589
7.0,-300,11,81.81818181818183,81.81818181818183,-450.00000000000017,2,50.0,19.245008972987527
7.5,-150,591,55.499153976311334,68.18950930626058,-214.36170212765958,263,50.57034220532319,3.1127805785175546
7.5,-175,387,59.68992248062015,70.28423772609818,-236.52173913043472,156,53.84615384615385,4.550313051751469
7.5,-200,239,58.995815899581594,66.94560669456067,-202.53164556962022,98,47.95918367346938,6.6279327952413345
7.5,-225,161,60.24844720496895,65.83850931677019,-192.72727272727275,64,48.4375,10.67691784285263
7.5,-250,86,59.30232558139535,61.627906976744185,-160.6060606060606,35,40.0,11.922438018865842
7.5,-300,40,52.5,62.5,-166.66666666666666,19,31.57894736842105,22.438186696393768
8.0,-150,685,52.846715328467155,68.17518248175183,-214.22018348623857,323,50.464396284829725,3.851927241770866
8.0,-175,451,55.654101995565405,70.06651884700665,-234.07407407407408,200,53.5,5.235756387635945
8.0,-200,265,59.24528301886792,72.45283018867924,-263.01369863013696,108,56.481481481481474,8.060943365916163
8.0,-225,174,61.49425287356321,70.6896551724138,-241.17647058823528,67,49.25373134328358,12.208222055761949
8.0,-250,107,64.48598130841121,68.22429906542055,-214.70588235294113,38,39.473684210526315,17.419126799742095
8.0,-300,27,66.66666666666666,74.07407407407408,-285.71428571428567,9,44.44444444444444,21.73067468400883
8.5,-150,969,57.27554179566563,71.51702786377709,-251.08695652173915,414,55.31400966183575,2.9220578387505465
8.5,-175,609,61.24794745484401,71.42857142857143,-250.00000000000003,236,54.23728813559322,3.1154943743941708
8.5,-200,374,66.84491978609626,75.93582887700535,-315.5555555555556,124,59.67741935483871,6.959659924742375
8.5,-225,242,72.72727272727273,78.51239669421489,-365.38461538461553,66,60.60606060606061,7.258621226852107
8.5,-250,130,70.76923076923077,80.76923076923077,-420.00000000000006,38,60.526315789473685,4.157354070357084
8.5,-300,50,74.0,82.0,-455.55555555555543,13,46.15384615384615,10.612816604461027
9.0,-150,590,53.050847457627114,67.11864406779661,-204.12371134020617,277,48.375451263537904,5.409826815516189
9.0,-175,389,54.24164524421594,67.60925449871465,-208.73015873015873,178,48.87640449438202,7.9783423131971745
9.0,-200,230,56.086956521739125,68.69565217391305,-219.44444444444449,101,46.53465346534654,11.040061973915318
9.0,-225,143,60.83916083916085,70.62937062937063,-240.47619047619042,56,46.42857142857143,13.352769043365864
9.0,-250,79,63.29113924050633,73.41772151898735,-276.19047619047626,29,51.724137931034484,14.287017504189706
9.0,-300,18,72.22222222222221,66.66666666666666,-199.99999999999994,5,40.0,28.05081233337741
ALL,-150,3066,55.05544683626875,69.40639269406392,-226.865671641791,1378,52.1044992743106,2.341944366009493
ALL,-175,1982,58.07265388496469,70.43390514631686,-238.22525597269632,831,53.309265944645,2.1419582361190166
ALL,-200,1193,60.85498742665549,71.66806370494552,-252.95857988165685,467,53.319057815845824,4.620440971707381
ALL,-225,762,64.96062992125984,72.44094488188976,-262.8571428571429,267,52.05992509363296,6.291552789574833
ALL,-250,432,65.50925925925925,72.45370370370371,-263.0252100840337,149,48.99328859060403,5.602985698567445
ALL,-300,146,67.12328767123287,73.28767123287672,-274.3589743589744,48,39.58333333333333,9.372708479203725
